slug,type,title,total_count,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9
kryptarytmy,blog,Kryptarytmy,33,0,7,1,5,2,6,3,4,5
przeksztalcenia-grafiki-2d,blog,Przekształcenia grafiki 2D — matematyczny punkt widzenia,25,4,3,0,4,7,3,2,2,0
codzienny-wtret-programisty,offtopic,Codzienny wtręt programisty (1-30),23,2,2,5,5,2,3,1,1,2
jak-komputer-rysuje-okregi,blog,Jak komputer rysuje okręgi?,22,2,3,2,3,0,2,4,1,5
programistyczne-dziwy,blog,5 programistycznych dziwactw — wyjaśnione,22,1,1,4,2,4,3,3,0,4
obliczanie-calek-oznaczonych,blog,Obliczanie całek oznaczonych,21,1,1,0,4,3,5,0,3,4
nie-liczby-jako-liczby-czyli-zapis-danych-cyfrowych,blog,"Nie-liczby jako liczby, czyli zapis danych cyfrowych",20,4,1,2,4,2,1,1,2,3
prawie-codzienny-wtret-programisty,offtopic,(prawie) Codzienny wtręt programisty (31-40),20,3,2,5,5,2,0,2,1,0
systemy-liczbowe-uzupelnienie,blog,Systemy liczbowe — uzupełnienie,20,3,2,2,2,1,3,0,4,3
szukanie-najkrotszych-sciezek-w-grafie,blog,Szukanie najkrótszych ścieżek w grafie,19,2,3,2,1,2,4,2,0,3
korekcja-perspektywy,blog,Korekcja perspektywy — algorytmiczne podejście,17,0,2,3,2,3,2,1,1,3
przechodzenie-po-grafie,blog,Przechodzenie po grafie,17,3,2,5,0,1,1,3,2,0
rysowanie-grafow-algorytmy,blog,Rysowanie grafów — algorytmy,17,2,2,4,2,0,2,1,1,3
szybkie-potegowanie,blog,Podstawy algorytmiki: szybkie potęgowanie,17,3,0,1,2,6,1,2,0,2
wyszukiwanie-w-listach,blog,Wyszukiwanie w listach,17,0,0,5,1,1,0,0,7,3
algorytmy-zarty-czyli-o-sortowaniu-cz-9,blog,"Algorytmy-żarty, czyli o sortowaniu cz. 9",16,1,0,1,1,2,4,3,2,2
macierze-podstawy,blog,Macierze — podstawowe operacje,16,2,1,4,2,1,0,3,1,2
obliczanie-wyrazen-matematycznych,blog,Obliczanie wyrażeń matematycznych,15,1,0,1,2,3,5,2,1,0
podstawy-logiki,blog,Logika dla informatyków — podstawy,15,1,4,0,1,2,1,0,4,2
sortowanie-cz-1-wprowadzenie-teoretyczne,blog,"Sortowanie, cz. 1 — wprowadzenie teoretyczne",15,2,1,1,3,3,1,2,1,1
sortowanie-cz-4-sortowanie-przez-wybieranie,blog,"Sortowanie, cz. 4 — sortowanie przez wybieranie",15,6,1,2,2,1,2,0,0,1
matura-probna-2022,blog,Rozwiązujemy maturę próbną 2022 z informatyki,14,1,1,0,0,0,3,2,4,3
przeksztalcenia-grafiki-3d,blog,Przekształcenia grafiki 3D,14,1,2,2,1,1,1,3,2,1
sposoby-zapisywania-liczb-przez-komputery,blog,Sposoby zapisywania liczb przez komputery,14,3,1,2,0,3,2,2,1,0
macierze-wyznacznik,blog,Macierze — obliczanie wyznacznika,13,1,3,3,1,2,2,0,0,1
sortowanie-cz-5-dziel-i-zwyciezaj,blog,"Sortowanie, cz. 5 — „dziel i zwyciężaj”",13,1,3,4,3,0,0,0,1,1
sposoby-reprezentacji-grafow,blog,Sposoby reprezentacji grafów,13,0,0,3,1,2,3,0,3,1
algorytmika-gier-obrot-do-punktu,blog,Algorytmika gier — obrót do punktu,12,0,1,1,1,3,1,4,1,0
praktyczne-zastosowania-przechodzenia-po-grafie,blog,Praktyczne zastosowania przechodzenia po grafie,12,1,3,0,3,0,2,1,1,1
algebra-zbiorow,blog,Logika dla informatyków — algebra zbiorów,11,2,1,1,0,0,2,3,2,0
algorytmiczne-rysowanie-roslin-w-3d,blog,Algorytmiczne rysowanie roślin w 3D,11,1,0,0,1,2,1,1,3,2
algorytmika-gier-kolko-i-krzyzyk,blog,Algorytmika gier — kółko i krzyżyk,11,3,2,0,0,0,2,2,2,0
derekursywacja,blog,Derekursywacja,11,2,1,1,0,1,1,2,2,1
pierwiastkowanie,blog,Pierwiastkowanie,11,1,1,1,0,1,2,3,1,1
sortowanie-cz-6-teraz-bez-porownywania,blog,"Sortowanie, cz. 6 — teraz bez porównywania!",11,2,1,1,0,2,1,3,1,0
szybkie-wyszukiwanie-sciezek,blog,Szybkie wyszukiwanie ścieżek,11,0,0,1,4,1,0,2,2,1
tekstowy-zapis-danych-cyfrowych,blog,Tekstowy zapis danych cyfrowych,11,0,0,0,2,0,1,1,3,4
gradienty,blog,Rysowanie gradientów,10,0,0,2,2,1,2,0,1,2
jak-komputer-przechowuje-date-i-skad-zna-aktualna,blog,Jak komputer przechowuje datę i skąd zna aktualną?,10,0,3,0,2,1,3,0,1,0
jak-komputer-zapisuje-kolory,blog,Jak komputer zapisuje kolory?,10,2,1,2,1,0,1,2,1,0
liczby-rzymskie,blog,Liczby rzymskie,10,0,0,0,2,0,1,2,2,3
problem-komiwojazera-heurystyki,blog,Problem komiwojażera — podejścia heurystyczne,10,2,1,0,1,2,0,1,1,2
sortowanie-cz-3-sortowanie-przez-wstawianie,blog,"Sortowanie, cz. 3 — sortowanie przez wstawianie",10,0,0,0,2,2,1,3,1,1
sortowanie-cz-7-inne-podejscia,blog,"Sortowanie, cz. 7 — inne podejścia",10,1,1,0,1,3,3,0,1,0
jak-komputer-rysuje-linie,blog,Jak komputer rysuje linie?,9,1,0,0,1,1,2,2,2,0
kompresja-obrazow,blog,Kompresja obrazów,9,1,2,3,0,1,0,1,1,0
kwantyfikatory,blog,Logika dla informatyków — kwantyfikatory,9,0,1,1,2,2,0,2,1,0
matematyka-zero-jedynkowa,blog,1 0 0 0? 0 1 0 1! 1 0 0 1 – czyli matematyka zero-jedynkowa,9,1,3,0,0,1,0,1,3,0
najwiekszy-wspolny-dzielnik,blog,Podstawy algorytmiki: największy wspólny dzielnik,9,1,2,1,1,0,2,1,0,1
okreslanie-dnia-tygodnia-dla-dowolnej-daty,blog,Określanie dnia tygodnia dla dowolnej daty,9,0,0,2,1,1,0,2,1,2
problem-skoczka-szachowego,blog,Problem skoczka szachowego,9,0,1,3,1,2,0,0,1,1
przetwarzanie-plikow-w-praktyce-obrazy-bmp,blog,Przetwarzanie plików w praktyce — obrazy BMP,9,0,1,2,2,2,0,0,0,2
sortowanie-cz-2-sortowanie-babelkowe,blog,"Sortowanie, cz. 2 — sortowanie bąbelkowe",9,0,3,2,1,2,1,0,0,0
wieze-hanoi,blog,Wieże Hanoi,9,0,0,1,0,0,1,3,2,2
